index,county,16_jan,16_feb,16_mar,16_apr,16_may,16_jun,16_jul,16_aug,16_sep,16_oct,16_nov,16_dec,17_jan,17_feb,17_mar,17_apr,17_may,17_jun,17_jul,17_aug,17_sep,17_oct,17_nov,17_dec,18_jan,18_feb,18_mar,18_apr,18_may,18_jun,18_jul,18_aug,18_sep,18_oct,18_nov,18_dec,19_jan,19_feb,19_mar,19_apr,19_may,19_jun,19_jul,19_aug,19_sep,19_oct,19_nov,19_dec,20_jan,20_feb,20_mar,20_apr,20_may,20_jun,20_jul,20_aug,20_sep,20_oct,20_nov,20_dec,21_jan,21_feb,21_mar,21_apr,21_may,lat,lng
1,alameda,700000,715000,758000,800000,828000,803000,800000,775000,760000,775000,800000,755000,755000,786000,833750,875000,862000,900000,875500,867500,853000,862450,880000,862000,840000,832000,955000,969300,1025000,1015000,970000,960000,900000,900000,900000,850000,826000,860000,911000,940000,959000,960000,950000,905500,910000,925000,910000,881500,875000,945000,970500,1030000,955000,976000,1027500,1028220,1050000,1049000,1049040,1060000,1060000,1100000,1163000,1300000,1312500,37.6469,-121.8889
2,amador,215500,275000,307000,235000,268500,319000,275000,257500,243500,276500,275000,272500,295000,265000,314900,327000,350000,337500,320000,334500,315000,309000,348950,305000,330000,318500,340000,335000,331500,335000,327000,335000,325500,325000,312500,314720,324000,316000,320000,336500,342750,320000,312500,329000,325000,322000,348500,300000,335000,328000,335000,350000,321000,337500,355000,353500,359900,366500,360000,355000,386250,406280,430000,415000,427500,38.4464,-120.6511
3,butte,260000,264960,286810,272750,271000,275000,288750,264120,275000,293000,279000,294250,264000,290000,287500,302900,308000,306500,299900,291000,311900,307700,315000,304000,314750,297000,315000,316000,324100,323000,315000,315000,320000,318000,326940,356560,376000,345450,369000,360000,359000,384000,374280,353150,358750,358250,350000,351720,355860,338750,365000,377500,362000,390000,395000,415000,403300,401500,405000,408460,420000,397000,406000,438500,449000,39.6669,-121.6007
4,calaveras,258750,262500,270000,276000,287500,315000,291000,310000,285000,300050,268500,288000,285000,294500,292000,318500,300000,310000,324500,345000,340000,298000,318000,285000,306500,311500,325000,340000,329000,313000,330000,340000,328000,302500,325000,310000,335000,340000,308250,340000,375000,330000,325500,346360,330000,356110,343500,339500,343500,355000,352000,332250,330000,363000,349900,381000,392000,393640,407120,397500,398500,441500,435850,475000,473800,38.2046,-120.5541
5,contra_costa,500000,529000,548780,565000,595000,625000,625000,570000,549900,535650,569000,550000,540000,554250,585000,653694,653000,660000,633250,627860,605000,615000,615000,600000,555000,610000,655000,689660,687500,702370,680000,650000,650000,657000,641000,612500,595000,649480,644000,679000,700360,698000,660000,672750,656000,681250,640000,665000,614000,635250,711000,710000,690000,750500,785000,805000,783000,787250,810000,763000,765000,817500,920000,990000,1015000,37.9191,-121.9278
6,del_norte,157000,175000,199000,315000,189500,198750,201280,174500,239500,264500,225000,232250,218500,265000,130000,239000,220000,165000,204900,214950,224300,220000,214000,251500,198500,216500,200000,239000,214000,312500,210000,249900,205000,223000,250000,243900,217000,245000,253020,216500,256850,353500,275000,264180,280000,247500,252500,276780,227000,297000,233500,240000,338450,242000,332000,283500,308000,325000,308750,346000,399000,359000,309000,364170,415000,41.7431,-123.8972
7,el_dorado,405000,422000,435010,432000,429500,461550,425000,425000,419000,419000,442000,434500,414250,419500,450000,474500,469000,499000,480500,485000,449950,445000,470000,450000,480000,468000,510000,499999,552000,525000,504000,480000,465000,500000,461750,454500,460000,495000,506160,524000,521380,497500,510500,525000,489900,490000,485000,465000,442120,465000,507500,500000,535000,510000,550000,570000,588000,559000,585000,538350,600000,577500,652500,654750,688000,38.7787,-120.5247
8,fresno,216000,214250,231000,229000,232000,241000,235700,239000,240000,240000,238000,239500,238000,230000,247250,244090,250000,260000,258000,259000,265000,254950,264000,259750,245450,266440,264950,260000,279980,275500,280000,280000,267000,272000,265750,266500,270000,265000,280000,271250,284900,283000,284400,285000,296000,287000,291500,285000,289950,289950,282500,290000,295000,313950,320000,322000,325000,331500,323500,325500,325000,350000,350000,355000,361500,36.7582,-119.6493
9,glenn,159975,197500,196000,225000,175000,205000,225000,230500,220500,185050,215000,197500,221000,181500,211000,230000,200000,210000,205000,225000,207500,215000,232000,230000,228500,219600,244500,215000,230000,227710,235000,225500,227500,253000,225000,246500,225000,281000,250000,241250,245000,250000,268750,270000,266500,245000,330000,252000,315000,288250,288500,282000,323250,295000,257500,263500,347520,287500,334750,297500,247500,319500,325000,302500,384000,39.5982,-122.392
10,humboldt,247800,265540,280000,277500,270000,284000,307900,290000,290000,305000,289000,295000,296500,297500,295000,300000,289500,302500,307500,316750,325000,305450,310000,319500,300000,291700,313500,309000,314900,331250,310000,315000,315000,315000,310000,308000,325500,298000,310000,305000,315000,340000,334370,320000,345000,325000,328190,318500,308000,310390,330000,317000,340750,317000,349000,340000,345000,379500,351000,370000,366000,360000,359000,425000,400000,40.6993,-123.8756
11,kern,215000,220000,220000,215600,225000,239700,233500,220000,215000,227000,225000,220000,215000,218000,225000,236750,230000,229450,235000,235100,234700,229500,235000,233000,225500,237000,232500,235000,247750,245000,250000,247000,241000,240000,235250,242380,240000,240000,249950,250000,252000,259450,263000,255500,257600,262000,258000,262900,252000,259000,259480,272000,270000,275000,282980,285840,292000,295000,290000,300000,302000,295000,310000,315000,317000,35.3429,-118.7299
12,kings,190000,205000,205000,202000,215000,207000,215000,209220,197000,217000,210000,215000,200000,222500,215000,232000,211000,230000,222000,225000,223000,213500,230000,225000,238000,215000,238000,235000,235000,245000,224980,227750,239950,229000,222000,243000,219900,221000,232000,240000,260000,247150,254750,258450,258000,251000,258000,255000,247450,255000,250000,260900,249950,265000,275000,265500,264000,290500,265000,281750,278750,280000,292500,305000,315000,36.0753,-119.8155
13,lake,235000,190000,242450,240500,238000,259000,245250,234500,220000,262500,259000,210000,215000,230000,215000,248468,240000,259500,265000,241500,234250,257500,262000,269500,279000,234500,280000,285000,263400,298800,249950,265000,288000,265250,255000,269000,265000,260000,243500,262400,267000,270000,249000,260000,270000,275000,297500,271500,253000,235000,275500,272000,300000,322500,307000,309500,307500,325000,317000,306950,300000,326500,333000,324950,360000,39.0996,-122.7532
14,lassen,105000,135000,112000,152950,134450,166000,165000,185000,161090,142500,144500,159000,175000,171000,182000,175500,192500,195000,171000,215000,145500,160000,189000,175000,217750,280000,135000,155500,215000,212000,185000,192500,159450,148000,184000,208000,228500,185000,220000,200950,205000,215000,225000,200000,180000,162000,222500,247500,239000,199000,230000,167000,195000,225000,205000,249000,272500,194500,231250,215000,249500,208250,252000,253000,247450,40.6736,-120.5943
15,los_angeles,480950,444410,441700,457180,467290,502190,513700,520400,550705,536760,487060,522520,509130,470200,465810,480230,492040,548220,566240,570720,606110,580360,530920,577690,564100,527280,528980,528540,536940,586090,597520,607490,634680,614500,553940,588140,566010,541390,525520,544170,539480,599680,611230,627690,663110,647900,594840,641340,617520,580690,567910,565170,553710,610270,653570,677260,747380,728160,664160,709500,697660,664120,668220,718440,725680,34.3207,-118.2248
16,madera,227500,219920,219500,215000,213500,230380,233000,245000,240000,225000,216950,237500,237500,230000,239000,240000,249000,274900,279250,263500,269900,251980,245000,239000,275000,255000,265000,244000,259000,268000,250000,254900,282500,254950,265000,263000,260000,259000,265000,271950,270000,291250,297500,279000,276500,299950,295500,285100,334790,285000,285000,306500,297500,300000,313850,329000,331120,302750,320000,335000,325000,354500,365000,378000,360000,37.218,-119.7627
17,marin,952500,1141400,1187500,1200000,1237500,1218500,1150000,1200000,1165000,1225000,1050000,1118700,1150000,1174500,1250000,1325000,1315000,1272500,1224000,1207120,1250000,1252500,1230000,1268900,1317500,1371000,1392500,1385000,1415000,1415000,1325000,1222500,1395000,1450000,1172940,1270500,1149500,1290000,1300000,1350000,1400000,1370000,1257000,1230000,1360000,1397500,1270000,1300000,1294000,1347500,1376000,1365000,1500000,1490000,1545500,1512500,1550000,1468500,1425000,1459000,1350000,1540000,1627500,1610000,1632500,38.0734,-122.7234
18,mariposa,279000,264250,227500,235000,299000,264000,270000,311500,332500,267250,258250,227000,272450,335000,285000,273000,271000,300000,262500,280000,299000,275000,250000,310000,276500,357000,290000,344850,320000,307000,327750,325000,315000,305500,355000,320000,316120,369000,277500,286500,295000,354500,281400,330000,318000,295000,410000,299900,266000,327500,335000,330000,280000,370400,425000,380750,457500,375000,374000,380000,400000,397500,421360,343200,415000,37.5815,-119.9054
19,mendocino,355000,382500,379000,331000,330000,350000,345000,362500,370000,360000,371500,366000,417500,381500,395000,358000,410000,445000,370000,402500,419000,405000,374500,409500,425000,420000,379000,430000,420000,449000,393750,430000,433500,420000,414000,424900,384560,377000,394500,418500,388500,399000,395000,413500,407500,406500,400290,447000,412000,467000,382810,395000,426000,425000,485000,524000,500250,529500,494000,540000,517500,525000,510000,528000,602500,39.4402,-123.3915
20,merced,193950,199000,185000,205000,223500,213500,215000,220000,214000,233250,215000,235000,225500,231000,229500,247915,243500,250100,260000,250000,260000,250000,255000,239900,257000,267850,257500,259000,262000,275000,267450,288400,280000,271850,261930,269060,279990,269000,275000,276000,285000,287000,283000,278600,277250,285000,275000,278800,282950,285950,280000,273900,285000,300000,319900,335000,300500,322500,315500,315000,307000,318750,318000,325000,350000,37.1919,-120.7177
21,mono,475000,282450,580000,316500,585000,664250,534600,532500,465000,379000,618750,528500,526750,520880,1022500,516250,627500,482850,578000,386500,632500,715000,400000,515000,480000,830000,780000,520000,852500,570000,899500,880000,622500,599900,725000,541000,782000,765000,800000,717250,564500,910000,692500,712500,699750,725000,556000,400000,780000,700000,665000,801250,520150,720000,669500,665000,875000,844500,806000,880000,1112500,1435000,1700000,974000,1140000,37.9391,-118.8868
22,monterey,500000,497980,490000,529900,540000,537000,539750,515000,566500,499900,515000,497000,572500,535000,562450,569000,617000,624500,629000,580500,569900,575000,618120,614000,571500,590000,625000,607750,677000,632500,655500,599000,624000,620000,630000,590000,590000,593950,579000,600000,639000,640500,651780,632500,658000,643280,720000,613250,649500,700000,680000,660000,650000,740000,749500,832500,860000,850000,850000,785000,860000,820000,931000,840000,887000,36.2172,-121.2392
23,napa,584500,650000,650000,629980,645770,619000,634380,625000,650000,618250,637500,605000,662500,660000,675000,685000,673250,685000,695000,654000,632500,649000,682000,688000,662000,713500,675000,682500,702500,740000,727000,752500,685000,709500,683500,725000,672500,625000,699000,705000,725000,705750,685000,699000,787500,735000,669000,765000,697500,659500,764000,750000,672500,725000,782500,867000,900000,749380,824500,842000,835000,931500,929000,950000,837500,38.5065,-122.3305
24,nevada,339500,295950,364900,327500,354000,352000,359000,343000,348700,360000,358500,355000,366500,390000,383750,424000,389000,380000,398500,375000,410000,388500,405750,393500,382000,400000,430000,408738,404000,452000,419500,420000,445000,401500,399000,389950,402950,382000,412500,397000,420000,427500,445000,415500,399000,419500,458500,400000,367000,420000,425000,460000,410000,433750,500000,475000,478750,492500,466250,508000,525000,519500,530000,555000,563250,39.3014,-120.7685
25,orange,699900,705000,720200,735000,731750,754000,734000,749000,739000,750000,734500,745000,740000,745000,760000,775000,795000,795000,785000,789000,799000,786000,785000,785500,780000,805380,824450,818000,838000,835500,829000,838500,825000,810000,795000,785000,796500,792500,809500,825000,845000,842000,839450,810000,830000,820000,822000,840000,855000,880000,882000,861000,834550,870000,880000,930000,915000,930000,930000,950000,971000,995000,1025000,1100000,1100000,33.703,-117.7611
26,placer,405000,417000,405000,429500,427000,430000,435000,430000,430240,436000,427000,425000,425000,435000,440000,460000,460000,472000,453000,462000,450000,455000,450000,451500,446000,472370,475500,489000,499650,510000,495000,475000,475000,470000,461000,492990,479000,495000,475000,498500,514900,525000,496250,500000,495000,505000,489800,495000,493000,509000,500000,510000,515000,515000,550000,538750,530000,548000,552650,559000,581000,599500,610000,625000,663450,39.0635,-120.7175
27,plumas,342000,269000,225000,277000,225000,270000,245000,275000,278500,215000,266000,230000,300250,210000,565000,239000,285000,297000,325000,325000,275000,320000,302000,256000,265950,261500,353000,280250,310000,290000,290000,292250,265000,310000,289500,262950,308240,258500,287500,395000,350500,340000,280000,345000,380000,275000,275000,270500,330000,321500,287500,252500,269000,305000,350000,392000,412000,385000,385000,305000,315000,329500,385000,400000,423000,40.0046,-120.8385
28,riverside,328000,330000,350000,350000,355000,360000,359900,355000,352250,355950,352500,360000,357500,367250,375000,379000,375000,385000,385500,388500,385700,382500,383000,385000,397250,396250,398000,400000,409920,405000,408000,400750,405950,400000,400000,398000,400000,410000,412000,423000,420000,420000,420000,420000,429450,420000,425000,420000,415460,428000,435000,435000,434480,450000,462000,486500,480000,485000,490000,488250,495500,519500,535000,545500,560000,33.7437,-115.9938
29,sacramento,281000,299000,305000,309000,317950,329000,320000,323500,317500,320000,325000,314940,305000,324900,326750,326000,342100,347000,353000,348000,347750,349900,349900,350000,350000,350000,365000,369000,375000,375000,370000,369950,372000,360000,365000,364500,352250,360000,365000,385000,385000,390000,390000,386000,385000,385000,385000,385000,379000,398500,400000,400000,395000,417000,422740,425000,439000,440000,442500,442250,450000,463000,485000,490000,500000,38.4493,-121.3443
30,san_benito,480000,464500,495000,479000,479000,511500,485000,538380,527500,506000,503090,475000,550000,517500,525000,521000,520000,535000,535000,600000,508500,545000,649880,537000,555000,545000,586670,569217,579900,570400,626500,575000,562000,597000,583200,577000,595000,600000,610000,550900,600000,585500,570000,609950,610410,604940,595000,600000,575020,595000,605000,614950,660500,586400,675000,625000,687000,634000,665590,729500,695000,700000,765000,722500,810000,36.6057,-121.075
31,san_bernardino,234460,226870,237350,236850,245080,245220,248000,240500,251750,245000,250000,255000,245440,265000,260000,255500,272500,270000,266250,269950,279000,274450,280000,278000,277000,278000,280000,289900,285000,293250,292000,290000,300000,289000,299450,295000,290000,298250,309950,305000,315000,310000,312000,315000,315000,319000,315000,320000,325000,329000,316000,325000,320000,325000,350000,350000,359900,365000,380250,378500,390000,389900,412000,405000,410000,34.8414,-116.1784
32,san_diego,530000,523500,550000,557000,565000,560000,560000,563000,569000,576620,557000,568000,550000,559950,571000,590000,605000,612750,613000,605000,605000,603000,619900,605000,590000,605000,625400,635000,640000,650000,650000,660000,640000,635500,626000,618500,610000,625000,623800,649000,650000,665000,650000,650000,636750,652000,659000,655000,660000,670000,675000,671000,655000,678000,719000,732560,735000,749000,740000,730000,730000,765000,800000,825120,851000,33.0341,-116.7353
