index,county,16_jan,16_feb,16_mar,16_apr,16_may,16_jun,16_jul,16_aug,16_sep,16_oct,16_nov,16_dec,17_jan,17_feb,17_mar,17_apr,17_may,17_jun,17_jul,17_aug,17_sep,17_oct,17_nov,17_dec,18_jan,18_feb,18_mar,18_apr,18_may,18_jun,18_jul,18_aug,18_sep,18_oct,18_nov,18_dec,19_jan,19_feb,19_mar,19_apr,19_may,19_jun,19_jul,19_aug,19_sep,19_oct,19_nov,19_dec,20_jan,20_feb,20_mar,20_apr,20_may,20_jun,20_jul,20_aug,20_sep,20_oct,20_nov,20_dec,21_jan,21_feb,21_mar,21_apr,21_may,lat,lng
1,alameda,2.1,-6.7,-7.6,-13.3,-8.2,-11.8,-16.2,1.5,9.5,1.7,20,-13.3,-0.4,2.5,5.5,-6.1,2.7,4.8,-1.5,6.4,-15,12.2,0.4,3,-5.9,6.8,5.2,14.5,6.7,3.2,15.5,-6.7,-10.4,-8.6,-6.7,-19.9,3.9,5.7,-7,2.4,2.1,-12.9,-10.5,0.2,2.6,0.1,-10.3,20.5,-11,-15.9,-19.4,-37.8,-56.5,-19.9,6.5,4.2,32.2,10.7,39.6,44.5,53.6,32.6,45.1,88.4,130.2,37.6469,-121.8889
2,amador,30.4,3.3,71.9,6.7,-4.3,2,-25.5,-9.8,15,60,60.7,10,13.3,-25.8,-10.9,4.2,34.1,-5.9,29.3,4.3,17.4,5.4,-11.1,18.2,-2.9,65.2,4.1,-12,6.8,56.3,13.2,6.3,7.4,25.4,5,-19.2,48.5,-21.1,7.8,18.2,7.9,-5.3,-23.3,23.5,-15.5,-31.1,69,19,-16.3,36.7,7.3,-28.8,-41.2,0,82.6,46,122.4,52.9,-2.8,66,46.3,31.7,16.9,89.2,80,38.4464,-120.6511
3,butte,7.2,5.7,13.5,-3.7,11.5,-3.5,9.3,5.2,4.3,0,11.5,4.9,-16.8,-11.5,-7.7,8.3,-11.8,-7.8,-2.5,1,-11.2,-15.2,-6.5,-11.2,9.1,-6.1,-0.6,-3,-7.3,7.3,-9.2,-1,-9.3,4.3,8.3,105.3,88.9,83.3,40.3,-4.3,7.8,-9.4,7.3,-9.4,8,0.6,3.2,-54.8,-35.3,-40.4,-36.1,-12.1,-46.9,1.2,-0.5,-12,14.9,-10.6,-17.9,17.9,-17.4,-10.2,6.5,26.1,63.2,39.6669,-121.6007
4,calaveras,-9.1,57.1,35.2,17.3,8.3,11.7,-21.6,8.4,6.3,-8.9,-11.4,5.3,42,-20.5,-8.3,4.5,6.7,-3.5,-8.2,8.6,-4,2,44.9,17,12.7,22.9,12.5,5.4,17.1,-8.1,16.7,-0.8,4.1,11.5,-31.9,-26.5,-28.8,4.7,-7.1,-10.3,-17.7,-10.8,12.4,-10.4,2,-6.9,2.6,-16.3,-8.8,-18.9,8.7,-21.8,-37.4,5.5,48.3,57.1,26.2,40.7,77.2,79.2,69.2,4.1,-9,45.6,55.2,38.2046,-120.5541
5,contra_costa,-2.2,-8.9,-7.9,-12,-9.6,-10.9,-18.8,-3.1,-2.5,-8.2,22.4,-7.8,10.4,-7.2,11.2,-1.7,4.2,8.2,1.4,11,-5.5,6.1,-1,-3.1,-6.9,11.2,0.8,7.1,5.1,-7.5,10.6,-10.1,-17.3,-10,-8,-16.7,-15.3,-10.8,-12.6,-4.8,7.5,-8.3,-5,-0.4,12.3,10.7,-10.8,16.9,10.9,8.8,-8.3,-32.1,-52.6,-7.9,15.3,11.3,35.2,17.8,49.9,52.4,27.5,18.5,34.6,95.6,95.1,37.9191,-121.9278
6,del_norte,5.6,116.7,27.8,-55.2,15.8,18.2,-15.8,-14.3,-37.5,-29.6,115.4,-23.8,-26.3,-46.2,-52.2,46.2,-27.3,-50,18.8,44.4,80,31.6,25,18.8,42.9,28.6,72.7,21.1,18.8,69.2,21.1,-19.2,38.9,0,-42.9,-36.8,-5,-38.9,-47.4,-17.4,-26.3,-27.3,-26.1,0,-24,-4,-30,108.3,-5.3,9.1,40,21.1,57.1,-6.3,29.4,28.6,5.3,45.8,42.9,36,-5.6,58.3,107.1,-4.3,-59.1,41.7431,-123.8972
7,el_dorado,14,-1.6,15,-5.3,3.2,18.7,-13.1,16.7,0.3,13.7,20.9,13.3,24,-17.4,-15.8,-7.7,-6.5,-3.4,-3,9.2,6.5,6.4,35,8.5,-10.4,24.3,15.1,13.4,-0.7,-4.7,20.7,-12.3,-18.7,2.2,-27.5,-33.6,-10.6,-32.8,-12.7,-20.2,-3.7,-10.4,-10.7,1.2,1.5,-1.2,7.8,18.4,6.7,74,6.7,-11.8,-29.5,20.5,57.9,45.3,81.4,33.6,54,64.2,19.5,10.4,31.3,67.5,79.8,38.7787,-120.5247
8,fresno,19.6,14.8,7.4,11.3,7.5,10.1,1.2,23.4,16.4,-10.2,6.3,-9.9,-15.2,0.2,-14,-17.9,-9.5,-15,8.8,13.8,-19.3,6.4,3.5,-12.9,-2.3,-14.9,8.5,1.9,0.9,-3.6,-23.7,-27.3,-14.5,-6.5,-2.9,-4.7,-6.3,-20.8,-12.5,-6.5,-7.7,-10.2,4.8,1.1,5.5,8.9,-2.5,11.6,9.1,14.5,-6.1,-20.3,-31.5,-2.8,1.8,-5.1,8.7,6.7,13.8,9.2,10.5,-0.2,7,28.5,40.5,36.7582,-119.6493
9,glenn,-14.3,28.6,-14.3,-10,-45,73.3,-15,-17.6,50,0,-27.8,7.1,-11.1,-33.3,16.7,0,100,-3.8,23.5,42.9,4.8,-16.7,46.2,0,0,-8.3,14.3,-27.8,40.9,-52,-19,-40,9.1,6.7,-5.3,113.3,68.8,54.5,68.8,69.2,-41.9,41.7,-17.6,58.3,-41.7,6.3,27.8,-62.5,-25.9,-29.4,-40.7,-31.8,-33.3,23.5,0,-5.3,28.6,-5.9,-39.1,50,-25,33.3,68.8,60,-8.3,39.5982,-122.392
10,humboldt,10.9,4.8,1.9,23.3,-3.8,13.6,-4.7,17.4,18.2,-14.7,45.1,-9.5,16.9,-22.7,-1.9,-8.5,0,-7.7,-4.9,-11.1,1.7,5.5,-20.2,10.5,3.6,17.6,6.8,19.6,10.8,24.1,2.6,4.2,-14.3,11.2,3.2,-28.4,-1.2,-2.5,2.7,-1.7,12.4,-11.9,9.2,-1.6,6.9,-10.9,26.5,18.1,7.1,12.8,-26.5,-36,-44.9,-3.4,25.2,35,22,32.2,3.2,31.6,7.7,-4.5,21.7,49.3,84.3,40.6993,-123.8756
